1   0.950057078		0.75475			0.150428571		0.077714286		0.042857143		0.022714286		0.013	
2   0.049942922		0.013571429		0.002142857		0.000714286		0				0				0
3   0				0.217285714		0.029714286		0.009714286		0.002			0.000857143		0
4   0				0.361142857		0.067428571		0.017857143		0.005			0.001714286		0
5   0				0				0.184857143		0.051428571		0.012857143		0.001857143		0.000857143
6   0				0				0.565428571		0.161			0.032285714		0.005571429		0.000571429
7	0				0				0				0.681571429		0.125714286		0.018285714		0.002571429
8	0				0				0				0				0.779285714		0.097571429		0.009857143
9	0				0				0				0				0				0.851428571		0.073714286
10	0				0				0				0				0				0				0.899428571

